step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
870,870,8.7e-5,2.121126,8.3405,2209.50,1.7804,14.061458
880,880,8.8e-5,2.229516,9.2954,2022.78,1.7643,14.302358
890,890,8.8999994e-5,2.153955,8.6189,2168.95,1.7903,13.711477
900,900,8.9999994e-5,2.129642,8.4119,2197.35,1.7723,14.120748
910,910,9.1e-5,2.065147,7.8865,2174.58,1.7553,12.389376
920,920,9.2e-5,2.062055,7.8621,2112.47,1.7484,13.343045
930,930,9.2999995e-5,2.125177,8.3744,2178.72,1.7515,12.400703
940,940,9.3999995e-5,2.006303,7.4358,2168.72,1.7467,12.107841
950,950,9.4999996e-5,2.055748,7.8127,2144.79,1.7503,12.566496
960,960,9.5999996e-5,2.201364,9.0373,2194.41,1.7716,14.211675
970,970,9.7000004e-5,2.070280,7.9270,2088.94,1.7580,13.798836
980,980,9.8e-5,2.008346,7.4510,2203.65,1.7760,12.991720
990,990,9.9e-5,2.049891,7.7671,1970.43,1.7469,12.960848
1000,1000,9.992107e-5,2.065695,7.8908,2060.08,1.7425,12.748893
1010,1010,9.991948e-5,1.987742,7.2990,2116.38,1.7608,12.253458
1020,1020,9.9917874e-5,1.959713,7.0973,2176.80,1.7502,12.417101
1030,1030,9.9916266e-5,1.940531,6.9624,2164.40,1.7482,12.118446
1040,1040,9.991463e-5,2.008890,7.4550,1988.59,1.7470,11.797553
1050,1050,9.991298e-5,1.913318,6.7755,2175.94,1.7520,11.606664
1060,1060,9.991132e-5,1.893573,6.6431,2174.78,1.7508,11.615874
1070,1070,9.990964e-5,1.897945,6.6722,2173.27,1.7487,11.808336
1080,1080,9.990794e-5,1.836500,6.2745,2169.77,1.7520,11.205144
1090,1090,9.9906225e-5,1.812408,6.1252,2159.71,1.7444,10.841392
1100,1100,9.990449e-5,1.988557,7.3050,2093.91,1.7401,11.815128
1110,1110,9.9902754e-5,2.009189,7.4573,2157.52,1.7434,11.674187
1120,1120,9.990099e-5,1.955712,7.0689,2160.36,1.7381,11.613739
1130,1130,9.9899225e-5,1.938582,6.9489,2166.31,1.7439,11.606812
1140,1140,9.989743e-5,1.871721,6.4995,2185.81,1.7641,11.640467
1150,1150,9.9895624e-5,1.821041,6.1783,2120.49,1.7731,11.276937
1160,1160,9.98938e-5,1.807770,6.0968,2177.91,1.7566,11.062231
1170,1170,9.9891964e-5,1.903323,6.7081,2182.87,1.7620,12.068295
1180,1180,9.989011e-5,1.984759,7.2773,2129.63,1.7661,12.641331
1190,1190,9.988824e-5,1.910608,6.7572,2000.80,1.7608,12.018325
1200,1200,9.9886354e-5,1.851241,6.3677,2185.75,1.7610,11.866867
1210,1210,9.988445e-5,1.933118,6.9110,2065.88,1.7768,12.045212
1220,1220,9.9882534e-5,1.808418,6.1008,2148.24,1.7351,11.009049
1230,1230,9.98806e-5,1.938806,6.9504,2023.84,1.7427,11.950180
1240,1240,9.987865e-5,2.022997,7.5610,2051.91,1.7328,12.671900
1250,1250,9.9876685e-5,1.953725,7.0549,2210.46,1.7831,11.465864
1260,1260,9.987471e-5,1.830477,6.2369,2208.54,1.7833,10.277186
1270,1270,9.987271e-5,1.857040,6.4047,2203.96,1.7759,11.061366
1280,1280,9.987071e-5,1.868073,6.4758,2213.42,1.7878,11.223614
1290,1290,9.9868674e-5,1.857147,6.4054,2126.80,1.7857,11.366421
1300,1300,9.986664e-5,1.998462,7.3777,2038.01,1.7716,11.502961
1310,1310,9.986458e-5,1.859942,6.4234,2204.59,1.7809,11.448774
1320,1320,9.9862504e-5,1.869213,6.4832,2217.76,1.7859,11.621912
1330,1330,9.9860416e-5,1.868213,6.4767,2004.44,1.7406,11.278622
1340,1340,9.9858305e-5,1.905740,6.7244,2147.12,1.7285,12.965245
1350,1350,9.985618e-5,1.795743,6.0240,2106.30,1.7462,11.320345
1360,1360,9.985405e-5,1.896354,6.6616,2037.23,1.7321,11.271658
1370,1370,9.9851895e-5,1.847157,6.3418,2167.32,1.7467,11.039696
1380,1380,9.984973e-5,1.861427,6.4329,2058.35,1.7348,10.784159
1390,1390,9.9847544e-5,1.839184,6.2914,2139.48,1.7291,11.403500
1400,1400,9.984534e-5,1.833584,6.2563,1948.88,1.7311,11.528173
1410,1410,9.984313e-5,1.848654,6.3513,2148.15,1.7348,11.443094
1420,1420,9.9840894e-5,1.739286,5.6933,2074.26,1.7308,11.323892
