step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
860,860,9.9766636e-5,1.684695,5.3908,3126.11,1.6898,6.908467
870,870,9.9761186e-5,1.634455,5.1267,2689.71,1.6964,6.780278
880,880,9.975567e-5,1.652374,5.2194,2475.07,1.6951,7.067250
890,890,9.975009e-5,1.561493,4.7659,2769.27,1.6910,6.503404
900,900,9.974445e-5,1.630776,5.1078,2824.30,1.7024,6.819478
910,910,9.973875e-5,1.578750,4.8489,2423.90,1.6938,6.630541
920,920,9.973298e-5,1.639518,5.1527,2871.40,1.6929,6.673499
930,930,9.972715e-5,1.595763,4.9321,2628.00,1.6929,6.734777
940,940,9.9721256e-5,1.574780,4.8297,2546.06,1.6925,6.686957
950,950,9.9715304e-5,1.540753,4.6681,2219.54,1.6956,6.395164
960,960,9.970929e-5,1.485256,4.4161,2454.83,1.7045,6.122256
970,970,9.9703204e-5,1.611697,5.0113,2481.24,1.6934,6.800481
980,980,9.969706e-5,1.623555,5.0711,2463.95,1.6881,6.951612
990,990,9.969086e-5,1.616332,5.0346,2370.67,1.6983,7.012404
1000,1000,9.968459e-5,1.613953,5.0226,2442.84,1.6913,7.007217
1010,1010,9.9678255e-5,1.586478,4.8865,3202.37,1.6998,6.621369
1020,1020,9.967186e-5,1.534802,4.6404,2519.63,1.6974,6.438184
1030,1030,9.96654e-5,1.479788,4.3920,3720.34,1.6944,6.097732
1040,1040,9.9658886e-5,1.477054,4.3800,2660.04,1.6944,6.134219
1050,1050,9.96523e-5,1.531639,4.6258,2865.41,1.6943,6.316797
1060,1060,9.964566e-5,1.615172,5.0288,3077.63,1.6894,6.850961
1070,1070,9.963895e-5,1.514980,4.5493,2448.75,1.6938,6.367021
1080,1080,9.963218e-5,1.498484,4.4749,2621.18,1.7022,6.389243
1090,1090,9.9625344e-5,1.596716,4.9368,3059.26,1.6924,6.597405
1100,1100,9.961845e-5,1.489016,4.4327,2660.70,1.6887,6.248849
1110,1110,9.96115e-5,1.467310,4.3376,2630.22,1.6918,6.043674
1120,1120,9.9604484e-5,1.508759,4.5211,3163.34,1.6933,5.998670
1130,1130,9.95974e-5,1.516482,4.5562,2438.68,1.6960,6.435157
1140,1140,9.959025e-5,1.445647,4.2446,2445.31,1.7022,5.931045
1150,1150,9.958304e-5,1.387548,4.0050,2047.76,1.7073,5.690170
1160,1160,9.957577e-5,1.394646,4.0335,2521.10,1.6986,5.576662
1170,1170,9.956844e-5,1.514822,4.5486,3319.34,1.7015,6.455738
1180,1180,9.9561046e-5,1.458185,4.2982,3234.65,1.6927,6.065738
1190,1190,9.955359e-5,1.504414,4.5015,2271.91,1.6917,6.316918
1200,1200,9.9546065e-5,1.487858,4.4276,2507.82,1.6975,6.352828
1210,1210,9.953848e-5,1.417204,4.1256,2551.24,1.7015,5.758027
1220,1220,9.953084e-5,1.345853,3.8415,2246.60,1.6936,5.529271
1230,1230,9.952313e-5,1.538679,4.6584,3116.52,1.6894,6.461482
1240,1240,9.951536e-5,1.487773,4.4272,2455.64,1.6956,6.279479
1250,1250,9.950753e-5,1.404089,4.0718,2397.15,1.7020,5.912301
1260,1260,9.949963e-5,1.448325,4.2560,2408.16,1.6950,6.002680
1270,1270,9.949168e-5,1.359993,3.8962,2321.21,1.7012,5.624288
1280,1280,9.948366e-5,1.424214,4.1546,2548.41,1.6915,5.931792
1290,1290,9.947558e-5,1.340922,3.8226,2196.24,1.7032,5.730593
1300,1300,9.9467434e-5,1.437000,4.2081,3736.93,1.6942,6.084560
1310,1310,9.945923e-5,1.383533,3.9890,3482.20,1.6855,5.707568
1320,1320,9.945096e-5,1.339829,3.8184,2171.03,1.7162,5.612823
1330,1330,9.944263e-5,1.411141,4.1006,2942.81,1.6933,5.812234
1340,1340,9.943424e-5,1.393296,4.0281,2475.64,1.6973,5.843606
1350,1350,9.942578e-5,1.419938,4.1369,2662.57,1.7019,5.956134
1360,1360,9.9417266e-5,1.521885,4.5809,2978.88,1.6980,6.343178
1370,1370,9.940868e-5,1.394653,4.0336,2354.69,1.6942,5.820157
1380,1380,9.9400044e-5,1.359902,3.8958,2201.17,1.7102,5.775585
1390,1390,9.9391335e-5,1.365361,3.9171,2149.68,1.6871,5.490163
1400,1400,9.938257e-5,1.475529,4.3733,3351.49,1.6968,6.229615
1410,1410,9.937374e-5,1.380565,3.9771,2467.50,1.6974,5.660769
1420,1420,9.936485e-5,1.381160,3.9795,2529.53,1.6985,5.820569
1430,1430,9.935589e-5,1.347142,3.8464,2684.52,1.6902,5.607382
1440,1440,9.9346886e-5,1.366004,3.9197,2562.40,1.7049,5.829627
1450,1450,9.9337805e-5,1.343656,3.8330,2099.40,1.7016,5.791740
