step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
680,680,5.9976266e-4,1.810917,6.1161,7528.74,0.5397,0.681090,0.044759,13.315908
690,690,5.997557e-4,1.819519,6.1689,9334.43,0.5468,0.697427,0.048739,13.195427
700,700,5.997486e-4,1.786218,5.9668,8218.08,0.5522,0.693538,0.050365,12.814509
710,710,5.9974135e-4,1.813688,6.1330,8707.89,0.5507,0.703410,0.048095,13.013323
720,720,5.99734e-4,1.796039,6.0257,7500.34,0.5383,0.700684,0.050433,13.476756
730,730,5.9972657e-4,1.822272,6.1859,8771.40,0.5227,0.718808,0.048380,13.299387
740,740,5.99719e-4,1.778019,5.9181,7792.89,0.5450,0.684302,0.049478,12.843943
750,750,5.9971143e-4,1.746020,5.7317,9085.53,0.5422,0.682725,0.047025,12.622016
760,760,5.9970364e-4,1.768061,5.8595,6642.16,0.5294,0.711948,0.052055,13.016965
770,770,5.996957e-4,1.745071,5.7263,7676.50,0.5343,0.735132,0.053635,12.652555
780,780,5.996878e-4,1.740984,5.7030,8710.67,0.5400,0.714297,0.052678,12.231822
790,790,5.9967977e-4,1.789411,5.9859,7130.39,0.5229,0.719083,0.055656,13.344371
800,800,5.996716e-4,1.727144,5.6246,8424.35,0.5343,0.709648,0.052408,12.634669
810,810,5.9966336e-4,1.731807,5.6509,7487.21,0.5354,0.709579,0.054477,12.525110
820,820,5.99655e-4,1.736094,5.6751,7556.51,0.5247,0.737841,0.057652,13.012553
830,830,5.996466e-4,1.688008,5.4087,9750.53,0.5364,0.727744,0.053884,12.372797
840,840,5.99638e-4,1.707184,5.5134,9773.62,0.5263,0.735353,0.056444,12.634840
850,850,5.9962936e-4,1.679216,5.3613,8033.92,0.5303,0.759499,0.058956,12.126821
860,860,5.996205e-4,1.735840,5.6737,7842.21,0.5473,0.762870,0.059045,12.077940
870,870,5.9961167e-4,1.677057,5.3498,7749.08,0.5412,0.762697,0.054692,12.066778
880,880,5.996027e-4,1.672303,5.3244,8889.85,0.5315,0.756981,0.062543,12.323589
890,890,5.995936e-4,1.718472,5.5760,6768.59,0.5366,0.778455,0.060161,12.391088
900,900,5.995844e-4,1.663399,5.2772,9244.24,0.5324,0.776873,0.059090,12.305020
910,910,5.995751e-4,1.640095,5.1557,7464.74,0.5377,0.773047,0.058828,11.873208
920,920,5.995657e-4,1.624274,5.0747,7253.06,0.5335,0.777245,0.058240,11.942982
930,930,5.9955625e-4,1.640166,5.1560,7606.81,0.5366,0.812455,0.061605,11.725454
940,940,5.995466e-4,1.660680,5.2629,7903.29,0.5308,0.805760,0.060561,12.109411
950,950,5.995369e-4,1.621275,5.0595,9672.77,0.5324,0.817772,0.062278,12.006598
960,960,5.9952715e-4,1.632308,5.1157,6339.23,0.5347,0.808390,0.065135,11.959958
970,970,5.9951725e-4,1.626821,5.0877,8421.24,0.5392,0.809919,0.066144,11.758236
980,980,5.9950724e-4,1.614013,5.0229,8689.79,0.5379,0.807467,0.064808,11.737148
990,990,5.994971e-4,1.581756,4.8635,7363.43,0.5400,0.810821,0.064774,11.345737
1000,1000,5.99487e-4,1.565064,4.7830,7510.23,0.5418,0.816215,0.062793,11.403823
1010,1010,5.994766e-4,1.656915,5.2431,7540.12,0.5500,0.824559,0.064884,11.833371
1020,1020,5.9946626e-4,1.609622,5.0009,7765.24,0.5267,0.818739,0.069389,11.695250
1030,1030,5.994558e-4,1.605045,4.9781,9864.00,0.5275,0.820099,0.062783,11.834013
1040,1040,5.994451e-4,1.617954,5.0428,7347.77,0.5208,0.862182,0.072039,12.293638
1050,1050,5.9943437e-4,1.543328,4.6801,8137.83,0.5327,0.850102,0.068835,11.105059
1060,1060,5.9942354e-4,1.583033,4.8697,7621.15,0.5338,0.846655,0.067821,11.495412
1070,1070,5.994127e-4,1.538069,4.6556,8219.39,0.5358,0.830383,0.065220,11.068833
1080,1080,5.9940165e-4,1.539886,4.6641,8242.56,0.5345,0.830866,0.066013,11.108186
1090,1090,5.993905e-4,1.522883,4.5854,8712.75,0.5274,0.843184,0.065748,11.200180
1100,1100,5.993792e-4,1.526947,4.6041,6374.18,0.5371,0.864423,0.071236,11.049181
1110,1110,5.993679e-4,1.508204,4.5186,7499.02,0.5355,0.883115,0.072210,10.892517
1120,1120,5.993565e-4,1.561774,4.7673,9484.68,0.5395,0.884367,0.071353,11.076402
1130,1130,5.9934496e-4,1.690422,5.4218,7057.83,0.5144,0.915389,0.074065,13.305852
1140,1140,5.993333e-4,1.547752,4.7009,7830.05,0.5294,0.873428,0.075831,11.369866
1150,1150,5.9932156e-4,1.567006,4.7923,8494.62,0.5382,0.832640,0.072615,11.334905
1160,1160,5.993097e-4,1.553042,4.7258,9836.96,0.5227,0.831859,0.070846,11.616022
1170,1170,5.992978e-4,1.519612,4.5704,8720.27,0.5400,0.830945,0.067037,10.849399
1180,1180,5.992857e-4,1.489197,4.4335,10211.40,0.5388,0.814834,0.065467,10.673000
