step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,2,4.0000004e-6,5.758381,316.8349,517.45,0.0604
20,5,1.0000001e-5,5.654513,285.5775,488.15,0.0536
30,7,1.4000001e-5,5.340035,208.5201,487.78,0.0501
40,10,2.0000001e-5,5.156665,173.5846,489.13,0.0490
50,12,2.4e-5,4.987908,146.6294,486.51,0.0487
60,15,3.0000001e-5,4.948203,140.9215,482.49,0.0593
70,17,3.4000004e-5,4.720257,112.1971,486.33,0.0500
80,20,4.0000003e-5,4.632339,102.7541,484.94,0.0478
90,22,4.4e-5,4.253956,70.3833,487.04,0.0506
100,25,5.0000002e-5,4.322550,75.3806,488.49,0.0503
