step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
970,242,2.9999827e-4,1.469202,4.3458,537.02,0.0956
980,245,2.9999824e-4,1.461481,4.3123,569.82,0.0952
990,247,2.999982e-4,1.555750,4.7386,528.15,0.1030
1000,250,2.9999815e-4,1.559832,4.7580,562.41,0.1032
1010,252,2.9999812e-4,1.511503,4.5335,729.16,0.1218
1020,255,2.999981e-4,1.543103,4.6791,563.70,0.1021
1030,257,2.9999806e-4,1.518791,4.5667,585.13,0.1009
1040,260,2.99998e-4,1.523483,4.5882,601.12,0.0983
1050,262,2.9999798e-4,1.594621,4.9265,782.39,0.1047
1060,265,2.9999795e-4,1.621364,5.0600,508.31,0.1013
1070,267,2.9999792e-4,1.536081,4.6463,579.31,0.1003
1080,270,2.9999786e-4,1.605589,4.9808,744.63,0.1037
1090,272,2.9999783e-4,1.452515,4.2739,606.11,0.0919
1100,275,2.9999777e-4,1.420944,4.1410,530.50,0.0924
1110,277,2.9999774e-4,1.475513,4.3733,721.16,0.1210
1120,280,2.999977e-4,1.404867,4.0750,635.55,0.0964
1130,282,2.9999766e-4,1.549170,4.7076,578.14,0.0966
1140,285,2.999976e-4,1.511475,4.5334,509.87,0.1031
1150,287,2.9999757e-4,1.429998,4.1787,644.05,0.1040
1160,290,2.9999754e-4,1.471123,4.3541,566.52,0.1024
1170,292,2.9999748e-4,1.760094,5.8130,727.98,0.1001
1180,295,2.9999745e-4,1.458723,4.3005,498.46,0.1009
1190,297,2.999974e-4,1.433492,4.1933,689.85,0.0943
1200,300,2.9999734e-4,1.438441,4.2141,582.20,0.0984
1210,302,2.999973e-4,1.398815,4.0504,704.40,0.1158
1220,305,2.9999725e-4,1.388304,4.0080,451.68,0.1029
1230,307,2.9999722e-4,1.548414,4.7040,452.54,0.1071
1240,310,2.9999716e-4,1.589468,4.9011,520.65,0.1023
1250,312,2.9999713e-4,1.412018,4.1042,542.50,0.1050
1260,315,2.9999707e-4,1.539043,4.6601,506.04,0.1052
1270,317,2.9999705e-4,1.417612,4.1273,549.82,0.1024
1280,320,2.99997e-4,1.447903,4.2542,612.63,0.0989
1290,322,2.9999693e-4,1.454214,4.2811,749.51,0.0976
1300,325,2.999969e-4,1.420722,4.1401,755.73,0.0945
1310,327,2.9999687e-4,1.476222,4.3764,753.29,0.1235
