step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
8600,1075,9.99927e-5,0.732461,2.0802,46.07,0.0291,3.859846
8700,1087,9.999254e-5,0.715128,2.0444,45.47,0.0294,3.741340
8800,1100,9.9992365e-5,0.715586,2.0454,47.16,0.0285,3.723660
8900,1112,9.999219e-5,0.723468,2.0616,46.78,0.0288,3.753705
9000,1125,9.9992e-5,0.716922,2.0481,46.33,0.0295,3.754682
9100,1137,9.999184e-5,0.702048,2.0179,51.55,0.0324,3.650385
9200,1150,9.999165e-5,0.705044,2.0239,46.24,0.0280,3.667648
9300,1162,9.999148e-5,0.732558,2.0804,46.56,0.0285,3.831734
9400,1175,9.999127e-5,0.708568,2.0311,45.81,0.0291,3.689724
9500,1187,9.99911e-5,0.705656,2.0252,46.24,0.0299,3.687202
9600,1200,9.999091e-5,0.711333,2.0367,45.46,0.0305,3.713702
9700,1212,9.999072e-5,0.699777,2.0133,45.95,0.0304,3.640448
9800,1225,9.999052e-5,0.710895,2.0358,45.67,0.0290,3.738781
9900,1237,9.999033e-5,0.698920,2.0116,46.74,0.0285,3.670013
10000,1250,9.9990124e-5,0.705346,2.0245,48.30,0.0273,3.712694
10100,1262,9.9989935e-5,0.699805,2.0134,51.88,0.0345,3.637616
10200,1275,9.998973e-5,0.703208,2.0202,45.97,0.0286,3.661570
10300,1287,9.998954e-5,0.686496,1.9867,46.00,0.0289,3.595087
10400,1300,9.9989324e-5,0.686286,1.9863,45.74,0.0298,3.573401
10500,1312,9.9989134e-5,0.694939,2.0036,44.80,0.0288,3.622156
10600,1325,9.9988916e-5,0.689261,1.9922,46.12,0.0294,3.566297
10700,1337,9.998871e-5,0.662211,1.9391,45.19,0.0291,3.415416
10800,1350,9.9988494e-5,0.718030,2.0504,45.74,0.0297,3.750312
10900,1362,9.998829e-5,0.689075,1.9919,44.61,0.0301,3.613265
11000,1375,9.998806e-5,0.678561,1.9710,44.59,0.0296,3.549590
11100,1387,9.9987854e-5,0.656831,1.9287,50.76,0.0337,3.431642
11200,1400,9.998762e-5,0.683344,1.9805,46.40,0.0273,3.561459
11300,1412,9.99874e-5,0.655657,1.9264,45.40,0.0283,3.417796
11400,1425,9.998717e-5,0.655062,1.9253,46.79,0.0282,3.403893
11500,1437,9.998695e-5,0.663689,1.9419,45.01,0.0302,3.474948
11600,1450,9.998672e-5,0.687834,1.9894,46.28,0.0306,3.591999
11700,1462,9.99865e-5,0.646741,1.9093,46.87,0.0302,3.355482
11800,1475,9.998625e-5,0.653390,1.9220,45.55,0.0306,3.426551
11900,1487,9.9986035e-5,0.658077,1.9311,45.86,0.0302,3.432407
12000,1500,9.998579e-5,0.663684,1.9419,46.26,0.0293,3.468390
12100,1512,9.9985555e-5,0.627746,1.8734,52.78,0.0334,3.223972
12200,1525,9.998531e-5,0.640553,1.8975,46.64,0.0302,3.350581
12300,1537,9.9985074e-5,0.664343,1.9432,48.60,0.0295,3.469811
12400,1550,9.998483e-5,0.669121,1.9525,47.07,0.0309,3.525791
12500,1562,9.9984594e-5,0.668323,1.9510,47.39,0.0304,3.495253
12600,1575,9.998433e-5,0.622212,1.8630,46.29,0.0302,3.246476
12700,1587,9.9984085e-5,0.645335,1.9066,46.62,0.0302,3.365170
12800,1600,9.998384e-5,0.658701,1.9323,47.46,0.0298,3.434094
12900,1612,9.998359e-5,0.645375,1.9067,47.00,0.0306,3.367525
13000,1625,9.998333e-5,0.642214,1.9007,46.69,0.0300,3.347195
13100,1637,9.998308e-5,0.639637,1.8958,52.63,0.0332,3.296039
13200,1650,9.9982804e-5,0.639990,1.8965,46.91,0.0308,3.325506
13300,1662,9.998256e-5,0.657149,1.9293,48.04,0.0310,3.442002
13400,1675,9.998228e-5,0.656661,1.9283,46.62,0.0302,3.431931
13500,1687,9.998202e-5,0.625624,1.8694,47.33,0.0296,3.243604
13600,1700,9.998176e-5,0.633234,1.8837,46.54,0.0313,3.312164
13700,1712,9.9981495e-5,0.652846,1.9210,46.53,0.0290,3.378762
13800,1725,9.9981204e-5,0.652085,1.9195,46.45,0.0294,3.385573
13900,1737,9.998094e-5,0.648075,1.9119,47.36,0.0322,3.414377
14000,1750,9.998065e-5,0.662758,1.9401,48.39,0.0297,3.454732
14100,1762,9.998039e-5,0.622794,1.8641,54.10,0.0333,3.239279
14200,1775,9.99801e-5,0.646445,1.9087,47.62,0.0286,3.355373
14300,1787,9.9979836e-5,0.621338,1.8614,48.36,0.0290,3.226644
14400,1800,9.997953e-5,0.613929,1.8477,48.36,0.0301,3.215349
14500,1812,9.997927e-5,0.608529,1.8377,46.36,0.0323,3.193353
14600,1825,9.997896e-5,0.604029,1.8295,46.46,0.0303,3.106071
14700,1837,9.9978686e-5,0.622721,1.8640,46.27,0.0320,3.274369
14800,1850,9.997838e-5,0.616387,1.8522,45.45,0.0298,3.216079
14900,1862,9.9978104e-5,0.632858,1.8830,48.67,0.0289,3.298181
15000,1875,9.99778e-5,0.636056,1.8890,48.84,0.0298,3.311688
15100,1887,9.997751e-5,0.636071,1.8890,52.06,0.0348,3.342909
15200,1900,9.99772e-5,0.605252,1.8317,47.90,0.0313,3.127851
15300,1912,9.997691e-5,0.606831,1.8346,48.67,0.0303,3.133964
15400,1925,9.997659e-5,0.612044,1.8442,48.08,0.0297,3.197572
15500,1937,9.99763e-5,0.627790,1.8735,48.40,0.0297,3.277494
15600,1950,9.997598e-5,0.629196,1.8761,49.16,0.0292,3.299666
15700,1962,9.997569e-5,0.602177,1.8261,46.64,0.0316,3.139792
15800,1975,9.997537e-5,0.586468,1.7976,48.81,0.0304,3.043656
15900,1987,9.997506e-5,0.625011,1.8683,48.50,0.0297,3.265044
16000,2000,9.997473e-5,0.604867,1.8310,46.66,0.0296,3.167197
16100,2012,9.997444e-5,0.610825,1.8420,48.74,0.0319,3.203855
16200,2025,9.99741e-5,0.608286,1.8373,42.28,0.0271,3.157399
16300,2037,9.99738e-5,0.615580,1.8507,42.98,0.0264,3.195124
16400,2050,9.997346e-5,0.599706,1.8216,42.24,0.0273,3.115414
16500,2062,9.997314e-5,0.600872,1.8237,42.69,0.0272,3.126984
16600,2075,9.997281e-5,0.604232,1.8298,41.86,0.0271,3.145555
16700,2087,9.997249e-5,0.620124,1.8592,42.70,0.0256,3.258941
16800,2100,9.997215e-5,0.568536,1.7657,42.17,0.0285,2.951595
16900,2112,9.997183e-5,0.590881,1.8056,42.23,0.0275,3.073340
17000,2125,9.997148e-5,0.607045,1.8350,45.11,0.0274,3.165440
17100,2137,9.997116e-5,0.577137,1.7809,52.70,0.0354,2.985689
17200,2150,9.997081e-5,0.586235,1.7972,47.27,0.0307,3.052843
17300,2162,9.997048e-5,0.586546,1.7978,44.33,0.0280,3.044864
17400,2175,9.9970115e-5,0.600588,1.8232,41.85,0.0283,3.136890
17500,2187,9.9969795e-5,0.592591,1.8087,41.91,0.0273,3.092019
17600,2200,9.996943e-5,0.606429,1.8339,42.82,0.0272,3.169263
17700,2212,9.99691e-5,0.609773,1.8400,43.04,0.0276,3.198977
17800,2225,9.996873e-5,0.594003,1.8112,42.79,0.0275,3.091711
17900,2237,9.99684e-5,0.591992,1.8076,41.98,0.0289,3.100354
18000,2250,9.9968034e-5,0.594460,1.8121,43.25,0.0269,3.097713
18100,2262,9.9967685e-5,0.590958,1.8057,46.94,0.0316,3.067026
18200,2275,9.996731e-5,0.592466,1.8084,48.30,0.0288,3.084084
18300,2287,9.996697e-5,0.588358,1.8010,46.51,0.0303,3.068942
18400,2300,9.996659e-5,0.596924,1.8165,49.03,0.0308,3.109967
18500,2312,9.9966244e-5,0.566185,1.7615,46.60,0.0306,2.940972
18600,2325,9.9965866e-5,0.580110,1.7862,47.08,0.0298,3.039629
18700,2337,9.99655e-5,0.566135,1.7614,46.56,0.0302,2.941309
18800,2350,9.9965124e-5,0.570059,1.7684,47.71,0.0304,2.953020
18900,2362,9.9964775e-5,0.576321,1.7795,46.18,0.0319,3.000909
19000,2375,9.996438e-5,0.586378,1.7975,48.11,0.0282,3.051231
19100,2387,9.996402e-5,0.587932,1.8003,53.59,0.0333,3.070321
19200,2400,9.9963625e-5,0.571614,1.7711,47.77,0.0309,2.979973
19300,2412,9.996326e-5,0.575321,1.7777,45.44,0.0304,2.982799
19400,2425,9.9962854e-5,0.590247,1.8044,47.57,0.0291,3.063420
19500,2437,9.996249e-5,0.598283,1.8190,47.03,0.0302,3.155266
19600,2450,9.99621e-5,0.593817,1.8109,48.05,0.0294,3.115209
19700,2462,9.996172e-5,0.563272,1.7564,47.78,0.0313,2.920520
19800,2475,9.996131e-5,0.568099,1.7649,45.70,0.0302,2.963928
19900,2487,9.996093e-5,0.560902,1.7523,47.33,0.0303,2.943057
20000,2500,9.9960525e-5,0.565081,1.7596,47.27,0.0302,2.933536
20100,2512,9.996015e-5,0.559544,1.7499,53.16,0.0345,2.890578
20200,2525,9.995974e-5,0.567039,1.7630,46.29,0.0292,2.948957
20300,2537,9.995935e-5,0.553712,1.7397,47.45,0.0311,2.875364
20400,2550,9.9958925e-5,0.577229,1.7811,46.85,0.0302,3.026103
20500,2562,9.9958546e-5,0.567893,1.7645,48.85,0.0308,2.950933
20600,2575,9.9958124e-5,0.553768,1.7398,48.33,0.0308,2.888877
20700,2587,9.995773e-5,0.569482,1.7674,48.82,0.0309,2.969835
20800,2600,9.995731e-5,0.568093,1.7649,49.21,0.0325,2.970888
20900,2612,9.995692e-5,0.591076,1.8059,48.29,0.0301,3.086410
21000,2625,9.995648e-5,0.574899,1.7770,47.12,0.0295,3.015649
21100,2637,9.995609e-5,0.556212,1.7441,52.83,0.0361,2.903940
21200,2650,9.995565e-5,0.562195,1.7545,46.90,0.0299,2.917481
21300,2662,9.995526e-5,0.565562,1.7604,49.03,0.0311,2.959882
21400,2675,9.995481e-5,0.561945,1.7541,47.77,0.0292,2.927072
