step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
8600,1075,9.99927e-5,0.736561,2.0887,36.26,0.0229,3.880693
8700,1087,9.999254e-5,0.722912,2.0604,35.43,0.0229,3.780873
8800,1100,9.9992365e-5,0.722168,2.0589,35.51,0.0214,3.757903
8900,1112,9.999219e-5,0.726038,2.0669,35.67,0.0219,3.765986
9000,1125,9.9992e-5,0.722677,2.0599,35.34,0.0225,3.783869
9100,1137,9.999184e-5,0.709170,2.0323,41.28,0.0260,3.686113
9200,1150,9.999165e-5,0.711208,2.0365,35.60,0.0216,3.699140
9300,1162,9.999148e-5,0.737907,2.0916,35.73,0.0219,3.858903
9400,1175,9.999127e-5,0.709768,2.0335,35.15,0.0223,3.695681
9500,1187,9.99911e-5,0.711144,2.0363,35.08,0.0227,3.714642
9600,1200,9.999091e-5,0.715750,2.0457,35.32,0.0237,3.736928
9700,1212,9.999072e-5,0.706145,2.0262,35.18,0.0233,3.673257
9800,1225,9.999052e-5,0.713885,2.0419,35.79,0.0227,3.754005
9900,1237,9.999033e-5,0.704215,2.0223,35.78,0.0218,3.697191
10000,1250,9.9990124e-5,0.710660,2.0353,37.31,0.0211,3.741303
10100,1262,9.9989935e-5,0.703466,2.0207,40.59,0.0270,3.655907
10200,1275,9.998973e-5,0.708112,2.0302,35.46,0.0221,3.685848
10300,1287,9.998954e-5,0.695877,2.0055,36.39,0.0229,3.643349
10400,1300,9.9989324e-5,0.693312,2.0003,35.52,0.0232,3.609313
10500,1312,9.9989134e-5,0.700803,2.0154,34.90,0.0225,3.651197
10600,1325,9.9988916e-5,0.695877,2.0055,35.56,0.0227,3.600338
10700,1337,9.998871e-5,0.670324,1.9549,35.42,0.0228,3.456753
10800,1350,9.9988494e-5,0.729489,2.0740,35.85,0.0233,3.809292
10900,1362,9.998829e-5,0.696114,2.0059,34.85,0.0235,3.649413
11000,1375,9.998806e-5,0.688125,1.9900,34.60,0.0230,3.598289
11100,1387,9.9987854e-5,0.663159,1.9409,41.43,0.0275,3.464195
11200,1400,9.998762e-5,0.685874,1.9855,35.75,0.0211,3.574087
11300,1412,9.99874e-5,0.661236,1.9372,35.10,0.0219,3.446745
11400,1425,9.998717e-5,0.665863,1.9462,35.33,0.0213,3.459090
11500,1437,9.998695e-5,0.671975,1.9581,34.85,0.0234,3.517596
11600,1450,9.998672e-5,0.693197,2.0001,35.72,0.0236,3.619931
11700,1462,9.99865e-5,0.655012,1.9252,36.30,0.0234,3.397479
11800,1475,9.998625e-5,0.663364,1.9413,34.86,0.0234,3.478663
11900,1487,9.9986035e-5,0.663325,1.9412,34.75,0.0229,3.458892
12000,1500,9.998579e-5,0.671787,1.9577,35.46,0.0225,3.509612
12100,1512,9.9985555e-5,0.636701,1.8902,40.76,0.0258,3.269585
12200,1525,9.998531e-5,0.645827,1.9076,36.39,0.0236,3.377206
12300,1537,9.9985074e-5,0.672159,1.9585,36.40,0.0221,3.509933
12400,1550,9.998483e-5,0.679261,1.9724,35.82,0.0235,3.578633
