step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
1020,127,2.54e-4,1.596853,4.9375,46.39,0.0277
1030,128,2.5600003e-4,1.545045,4.6882,60.57,0.0291
1040,130,2.6e-4,1.512252,4.5369,44.92,0.0272
1050,131,2.6200002e-4,1.525545,4.5976,47.74,0.0271
1060,132,2.64e-4,1.647009,5.1914,54.60,0.0301
1070,133,2.6600002e-4,1.570832,4.8107,44.06,0.0269
1080,135,2.7000002e-4,1.545320,4.6895,40.76,0.0287
1090,136,2.7200003e-4,1.563092,4.7736,54.17,0.0300
1100,137,2.7400002e-4,1.566821,4.7914,44.24,0.0270
1110,138,2.76e-4,1.471753,4.3569,42.08,0.0289
1120,140,2.8e-4,1.505482,4.5063,57.26,0.0303
1130,141,2.8200002e-4,1.479146,4.3892,41.10,0.0286
1140,142,2.84e-4,1.513987,4.5448,41.85,0.0277
1150,143,2.86e-4,1.420898,4.1408,43.33,0.0353
1160,145,2.9e-4,1.420398,4.1388,41.50,0.0290
1170,146,2.92e-4,1.492818,4.4496,48.19,0.0270
1180,147,2.9400003e-4,1.468429,4.3424,49.66,0.0307
1190,148,2.96e-4,1.458242,4.2984,52.83,0.0290
1200,150,2.9999934e-4,1.462816,4.3181,39.59,0.0288
1210,151,2.9999934e-4,1.434145,4.1961,51.92,0.0312
1220,152,2.9999934e-4,1.379297,3.9721,37.97,0.0294
1230,153,2.9999932e-4,1.438117,4.2128,47.23,0.0267
1240,155,2.9999932e-4,1.509946,4.5265,48.58,0.0319
1250,156,2.999993e-4,1.414127,4.1129,39.77,0.0288
1260,157,2.999993e-4,1.406862,4.0831,39.81,0.0286
1270,158,2.999993e-4,1.387485,4.0048,44.23,0.0338
1280,160,2.9999926e-4,1.337908,3.8111,40.29,0.0280
1290,161,2.9999923e-4,1.379601,3.9733,41.71,0.0283
1300,162,2.9999923e-4,1.377056,3.9632,60.58,0.0292
1310,163,2.9999923e-4,1.378024,3.9671,57.22,0.0258
1320,165,2.999992e-4,1.324573,3.7606,37.98,0.0293
1330,166,2.999992e-4,1.351946,3.8649,53.57,0.0320
1340,167,2.9999917e-4,1.383732,3.9898,39.05,0.0287
1350,168,2.9999917e-4,1.337561,3.8097,44.75,0.0276
1360,170,2.9999917e-4,1.458623,4.3000,48.98,0.0335
1370,171,2.9999914e-4,1.365893,3.9192,47.04,0.0274
1380,172,2.9999914e-4,1.339793,3.8183,39.13,0.0293
1390,173,2.9999914e-4,1.302350,3.6779,44.57,0.0350
1400,175,2.999991e-4,1.344424,3.8360,43.47,0.0280
1410,176,2.9999908e-4,1.388769,4.0099,47.35,0.0275
1420,177,2.9999908e-4,1.323629,3.7570,50.42,0.0312
1430,178,2.9999908e-4,1.321941,3.7507,42.46,0.0271
1440,180,2.9999905e-4,1.279485,3.5948,42.83,0.0282
1450,181,2.9999905e-4,1.277181,3.5865,43.52,0.0338
1460,182,2.9999902e-4,1.423732,4.1526,37.27,0.0289
1470,183,2.9999902e-4,1.252751,3.5000,43.01,0.0285
1480,185,2.99999e-4,1.299679,3.6681,49.11,0.0319
1490,186,2.99999e-4,1.313423,3.7189,50.12,0.0271
1500,187,2.99999e-4,1.270624,3.5631,37.96,0.0293
1510,188,2.9999897e-4,1.370969,3.9392,47.96,0.0312
1520,190,2.9999897e-4,1.349106,3.8540,39.39,0.0283
1530,191,2.9999894e-4,1.318402,3.7374,43.27,0.0284
1540,192,2.999989e-4,1.307111,3.6955,49.46,0.0312
1550,193,2.999989e-4,1.293234,3.6446,38.90,0.0295
1560,195,2.9999888e-4,1.350566,3.8596,41.93,0.0274
1570,196,2.9999888e-4,1.442044,4.2293,55.71,0.0296
1580,197,2.9999885e-4,1.234670,3.4372,38.31,0.0289
1590,198,2.9999885e-4,1.326548,3.7680,41.54,0.0272
1600,200,2.9999882e-4,1.277429,3.5874,51.93,0.0327
1610,201,2.9999882e-4,1.269397,3.5587,40.20,0.0294
1620,202,2.9999882e-4,1.337411,3.8092,57.25,0.0272
1630,203,2.999988e-4,1.172484,3.2300,44.46,0.0373
1640,205,2.9999876e-4,1.324901,3.7618,47.55,0.0279
1650,206,2.9999876e-4,1.231018,3.4247,43.27,0.0279
1660,207,2.9999873e-4,1.174849,3.2377,45.39,0.0336
1670,208,2.9999873e-4,1.290343,3.6340,45.82,0.0271
1680,210,2.999987e-4,1.290832,3.6358,45.18,0.0269
1690,211,2.999987e-4,1.286948,3.6217,53.15,0.0302
1700,212,2.999987e-4,1.277675,3.5883,48.65,0.0259
1710,213,2.9999868e-4,1.346754,3.8449,54.91,0.0261
1720,215,2.9999865e-4,1.298327,3.6632,53.02,0.0308
1730,216,2.9999862e-4,1.236678,3.4442,49.27,0.0277
1740,217,2.9999862e-4,1.218784,3.3831,47.95,0.0272
1750,218,2.999986e-4,1.234630,3.4371,45.15,0.0323
1760,220,2.999986e-4,1.263427,3.5375,50.32,0.0277
1770,221,2.9999856e-4,1.304898,3.6873,55.19,0.0262
1780,222,2.9999856e-4,1.187985,3.2805,52.82,0.0303
1790,223,2.9999853e-4,1.242774,3.4652,40.18,0.0280
1800,225,2.9999853e-4,1.182094,3.2612,41.28,0.0286
1810,226,2.999985e-4,1.186459,3.2755,48.55,0.0328
1820,227,2.9999847e-4,1.247480,3.4816,44.12,0.0274
1830,228,2.9999847e-4,1.331030,3.7849,46.51,0.0271
1840,230,2.9999844e-4,1.195182,3.3042,48.21,0.0314
1850,231,2.9999844e-4,1.308408,3.7003,48.17,0.0279
1860,232,2.999984e-4,1.155283,3.1749,51.97,0.0275
1870,233,2.999984e-4,1.231241,3.4255,47.83,0.0330
1880,235,2.9999838e-4,1.186142,3.2744,43.44,0.0283
1890,236,2.9999838e-4,1.124007,3.0772,38.80,0.0297
1900,237,2.9999833e-4,1.144033,3.1394,46.82,0.0331
1910,238,2.9999833e-4,1.211667,3.3591,42.16,0.0285
1920,240,2.999983e-4,1.212028,3.3603,49.37,0.0266
1930,241,2.999983e-4,1.247440,3.4814,50.03,0.0322
1940,242,2.9999827e-4,1.205574,3.3387,48.76,0.0275
1950,243,2.9999827e-4,1.173040,3.2318,40.68,0.0283
1960,245,2.9999824e-4,1.094227,2.9869,49.00,0.0318
1970,246,2.999982e-4,1.217022,3.3771,41.34,0.0274
