step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
100,12,8e-6,5.472375,238.0248,404.70,0.0365,32.032177
200,25,1.6666667e-5,4.402685,81.6699,153.14,0.0173,26.789785
300,37,2.4666666e-5,3.793902,44.4294,168.85,0.0167,22.735342
400,50,3.3333334e-5,3.380274,29.3788,166.57,0.0173,20.186756
500,62,4.1333333e-5,3.039803,20.9011,145.47,0.0174,18.382404
600,75,5e-5,2.775687,16.0496,152.43,0.0174,16.497202
700,87,5.7999998e-5,2.607690,13.5677,172.96,0.0166,15.330730
800,100,6.666667e-5,2.449567,11.5833,177.10,0.0158,15.165886
900,112,7.466666e-5,2.326281,10.2398,138.46,0.0175,13.806893
1000,125,8.333333e-5,2.240327,9.3964,133.76,0.0172,13.609221
1100,137,9.1333335e-5,2.155880,8.6355,208.89,0.0198,13.010244
1200,150,9.999986e-5,2.103149,8.1919,191.46,0.0154,12.811533
1300,162,9.999983e-5,2.060791,7.8522,161.78,0.0174,11.999664
1400,175,9.99998e-5,2.012017,7.4784,176.74,0.0162,12.297525
1500,187,9.999979e-5,1.984272,7.2737,187.20,0.0167,11.828290
1600,200,9.999974e-5,1.936971,6.9377,185.03,0.0162,11.603113
1700,212,9.9999714e-5,1.943078,6.9802,171.42,0.0163,11.567970
1800,225,9.9999685e-5,1.863298,6.4450,163.68,0.0172,11.110056
1900,237,9.999964e-5,1.837743,6.2823,166.10,0.0165,10.983906
2000,250,9.99996e-5,1.815742,6.1456,154.96,0.0166,10.816045
2100,262,9.999957e-5,1.814117,6.1357,204.52,0.0207,10.597717
2200,275,9.9999525e-5,1.750086,5.7551,177.81,0.0156,10.579864
2300,287,9.999948e-5,1.753594,5.7753,171.78,0.0165,10.391772
2400,300,9.999944e-5,1.727108,5.6244,211.01,0.0153,10.385800
2500,312,9.999939e-5,1.715264,5.5581,180.55,0.0157,10.125819
2600,325,9.9999335e-5,1.704476,5.4985,165.86,0.0165,10.156636
2700,337,9.999928e-5,1.676103,5.3447,165.01,0.0169,9.856919
2800,350,9.999923e-5,1.662118,5.2705,155.35,0.0166,9.832830
2900,362,9.9999175e-5,1.637209,5.1408,166.40,0.0174,9.658806
3000,375,9.999912e-5,1.639695,5.1536,170.82,0.0160,9.722501
3100,387,9.999906e-5,1.606534,4.9855,194.31,0.0220,9.485865
3200,400,9.9998986e-5,1.595141,4.9290,187.66,0.0167,9.595223
3300,412,9.999893e-5,1.601243,4.9592,152.63,0.0171,9.340150
3400,425,9.999887e-5,1.567194,4.7932,163.08,0.0175,9.171446
3500,437,9.99988e-5,1.541564,4.6719,181.04,0.0170,9.099951
3600,450,9.9998724e-5,1.538344,4.6569,152.64,0.0177,9.136147
3700,462,9.999865e-5,1.526554,4.6023,156.95,0.0179,9.242723
3800,475,9.999858e-5,1.516382,4.5557,143.70,0.0193,8.880440
3900,487,9.9998506e-5,1.510573,4.5293,168.05,0.0168,9.161159
4000,500,9.999842e-5,1.527513,4.6067,160.84,0.0175,8.888095
4100,512,9.9998346e-5,1.481856,4.4011,214.23,0.0205,8.911098
4200,525,9.999826e-5,1.524680,4.5937,170.52,0.0159,9.203357
4300,537,9.999817e-5,1.474078,4.3670,176.00,0.0173,8.766424
4400,550,9.99981e-5,1.471961,4.3578,192.23,0.0161,8.955652
4500,562,9.999801e-5,1.456646,4.2915,174.36,0.0162,8.699505
4600,575,9.999791e-5,1.444459,4.2396,176.04,0.0169,8.652887
4700,587,9.999782e-5,1.457407,4.2948,179.87,0.0164,8.704937
4800,600,9.999772e-5,1.446174,4.2468,165.03,0.0169,8.489058
4900,612,9.999763e-5,1.411230,4.1010,148.00,0.0169,8.565187
5000,625,9.999753e-5,1.399581,4.0535,164.05,0.0170,8.329183
5100,637,9.999744e-5,1.465322,4.3289,234.08,0.0205,8.543936
5200,650,9.999733e-5,1.418759,4.1320,141.52,0.0174,8.485115
5300,662,9.999724e-5,1.426896,4.1657,208.02,0.0167,8.439027
5400,675,9.999712e-5,1.407300,4.0849,165.52,0.0163,8.423236
5500,687,9.999702e-5,1.417867,4.1283,195.48,0.0159,8.468939
5600,700,9.9996905e-5,1.373827,3.9504,145.93,0.0168,8.247481
5700,712,9.99968e-5,1.372313,3.9445,166.19,0.0172,7.954232
5800,725,9.999669e-5,1.339208,3.8160,165.33,0.0163,8.116474
5900,737,9.999657e-5,1.365529,3.9178,156.75,0.0179,8.061364
6000,750,9.9996454e-5,1.384949,3.9946,154.11,0.0171,8.135235
6100,762,9.999634e-5,1.358759,3.8914,210.03,0.0204,8.305057
