step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,4e-6,5.071964,159.4872,9495.08,7.6270,0.079486,0.414183,31.519653
20,20,8e-6,4.776386,118.6747,8603.17,6.9521,0.076429,0.376650,32.213058
30,30,1.19999995e-5,4.402510,81.6556,8710.18,7.0010,0.060827,0.279036,29.794561
40,40,1.6e-5,4.122259,61.6985,8142.56,7.1119,0.045275,0.179580,27.348455
50,50,2e-5,3.894968,49.1545,9270.88,8.1363,0.032426,0.123175,22.471210
60,60,2.3999999e-5,3.707410,40.7481,10182.13,8.3106,0.024320,0.088903,21.044510
70,70,2.7999999e-5,3.598248,36.5342,9544.27,7.6798,0.022646,0.071822,22.065136
