step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
1020,127,8.4666666e-5,2.088678,8.0742,118.14,0.0140
1030,128,8.533333e-5,2.091359,8.0959,152.86,0.0129
1040,130,8.666667e-5,2.067918,7.9083,86.47,0.0150
1050,131,8.7333334e-5,2.064569,7.8819,128.29,0.0143
1060,132,8.8e-5,2.137596,8.4790,98.95,0.0148
1070,133,8.866666e-5,2.030404,7.6172,205.74,0.0124
1080,135,8.9999994e-5,2.098230,8.1517,88.76,0.0153
1090,136,9.066667e-5,2.031525,7.6257,160.69,0.0135
1100,137,9.1333335e-5,2.079765,8.0026,116.49,0.0145
1110,138,9.2e-5,2.042628,7.7108,383.50,0.0325
1120,140,9.333333e-5,2.061426,7.8572,111.16,0.0140
1130,141,9.3999995e-5,2.024225,7.5702,139.27,0.0133
1140,142,9.466666e-5,2.024973,7.5759,165.85,0.0127
1150,143,9.533333e-5,1.961132,7.1074,170.57,0.0123
1160,145,9.666666e-5,2.034862,7.6512,141.76,0.0135
1170,146,9.733333e-5,1.990481,7.3191,105.80,0.0137
1180,147,9.8e-5,1.998039,7.3746,101.00,0.0145
1190,148,9.8666664e-5,1.982851,7.2634,113.12,0.0136
1200,150,9.999977e-5,1.969164,7.1647,115.31,0.0139
1210,151,9.999977e-5,2.012789,7.4842,363.63,0.0381
1220,152,9.999977e-5,1.951260,7.0376,168.30,0.0124
1230,153,9.999977e-5,1.960512,7.1030,108.02,0.0141
1240,155,9.999977e-5,1.984110,7.2726,188.30,0.0134
1250,156,9.999976e-5,2.082731,8.0264,91.32,0.0155
1260,157,9.999976e-5,1.930455,6.8926,164.36,0.0127
1270,158,9.999976e-5,2.006319,7.4359,149.79,0.0135
1280,160,9.999974e-5,1.942490,6.9761,100.30,0.0149
1290,161,9.999974e-5,1.935263,6.9259,150.10,0.0133
1300,162,9.999974e-5,1.903176,6.7072,103.70,0.0155
1310,163,9.999974e-5,1.925997,6.8620,403.49,0.0272
1320,165,9.999973e-5,1.966946,7.1488,140.03,0.0140
1330,166,9.999973e-5,1.947512,7.0112,87.93,0.0155
1340,167,9.999973e-5,1.911396,6.7625,90.67,0.0150
1350,168,9.999973e-5,1.938527,6.9485,121.89,0.0139
1360,170,9.9999714e-5,1.858452,6.4138,155.94,0.0127
1370,171,9.9999714e-5,1.822455,6.1870,134.09,0.0137
1380,172,9.9999714e-5,1.942819,6.9784,92.07,0.0143
1390,173,9.99997e-5,1.848592,6.3509,171.87,0.0133
1400,175,9.99997e-5,1.949083,7.0222,65.88,0.0174
1410,176,9.99997e-5,1.841305,6.3048,315.34,0.0537
1420,177,9.9999685e-5,1.888386,6.6087,106.51,0.0145
1430,178,9.9999685e-5,1.887468,6.6026,151.26,0.0132
1440,180,9.9999685e-5,1.862741,6.4414,88.62,0.0159
1450,181,9.9999685e-5,1.830732,6.2384,118.12,0.0148
1460,182,9.999967e-5,1.842904,6.3148,113.21,0.0140
1470,183,9.999967e-5,1.847184,6.3419,174.55,0.0130
1480,185,9.999967e-5,1.857452,6.4074,166.66,0.0136
1490,186,9.9999656e-5,1.834467,6.2618,142.57,0.0136
1500,187,9.9999656e-5,1.851039,6.3664,146.65,0.0133
