step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3460800,865200,5e-6,0.401304,1.4938,120.39,0.0211,1.520569
3460900,865225,5e-6,0.404371,1.4984,125.51,0.0217,1.531120
3461000,865250,5e-6,0.409242,1.5057,130.31,0.0204,1.539743
3461100,865275,5e-6,0.423064,1.5266,166.17,0.0267,1.550523
3461200,865300,5e-6,0.411603,1.5092,116.03,0.0210,1.533373
3461300,865325,5e-6,0.403258,1.4967,115.55,0.0215,1.513392
3461400,865350,5e-6,0.419266,1.5208,127.84,0.0202,1.547500
3461500,865375,5e-6,0.402265,1.4952,114.56,0.0216,1.511771
3461600,865400,5e-6,0.402903,1.4962,112.44,0.0211,1.589543
3461700,865425,5e-6,0.414413,1.5135,113.06,0.0215,1.545296
3461800,865450,5e-6,0.396213,1.4862,118.98,0.0204,1.505790
3461900,865475,5e-6,0.426738,1.5323,122.73,0.0210,1.550319
3462000,865500,5e-6,0.399471,1.4910,123.07,0.0217,1.502889
3462100,865525,5e-6,0.387533,1.4733,164.39,0.0266,1.485813
3462200,865550,5e-6,0.410443,1.5075,122.82,0.0199,1.525077
3462300,865575,5e-6,0.427481,1.5334,121.50,0.0198,1.566721
3462400,865600,5e-6,0.379985,1.4623,120.68,0.0203,1.474768
3462500,865625,5e-6,0.439398,1.5518,119.25,0.0199,2.418501
3462600,865650,5e-6,0.421787,1.5247,121.25,0.0207,1.548455
3462700,865675,5e-6,0.401350,1.4938,120.53,0.0208,1.601783
3462800,865700,5e-6,0.388129,1.4742,133.18,0.0193,1.491443
3462900,865725,5e-6,0.431497,1.5396,125.91,0.0200,1.558482
3463000,865750,5e-6,0.374850,1.4548,109.74,0.0211,1.466107
3463100,865775,5e-6,0.403479,1.4970,166.48,0.0272,1.557647
3463200,865800,5e-6,0.408055,1.5039,120.29,0.0206,1.515692
3463300,865825,5e-6,0.403359,1.4968,120.47,0.0207,1.542444
3463400,865850,5e-6,0.415735,1.5155,114.15,0.0221,1.558261
3463500,865875,5e-6,0.403158,1.4965,123.46,0.0202,1.509100
3463600,865900,5e-6,0.409193,1.5056,116.81,0.0227,1.525175
3463700,865925,5e-6,0.393623,1.4823,129.54,0.0204,1.494756
3463800,865950,5e-6,0.382652,1.4662,125.11,0.0208,1.474463
3463900,865975,5e-6,0.416053,1.5160,122.30,0.0206,1.536544
3464000,866000,5e-6,0.428589,1.5351,115.38,0.0222,1.649873
3464100,866025,5e-6,0.441686,1.5553,183.24,0.0242,1.580884
3464200,866050,5e-6,0.384738,1.4692,128.25,0.0202,1.480738
3464300,866075,5e-6,0.400511,1.4926,117.52,0.0213,1.522083
3464400,866100,5e-6,0.421803,1.5247,117.10,0.0213,1.571122
3464500,866125,5e-6,0.383739,1.4678,130.21,0.0189,1.515065
3464600,866150,5e-6,0.397741,1.4885,127.12,0.0199,1.504539
3464700,866175,5e-6,0.366102,1.4421,117.64,0.0210,1.453813
3464800,866200,5e-6,0.384557,1.4690,124.41,0.0193,1.481351
3464900,866225,5e-6,0.460679,1.5852,118.38,0.0210,1.662172
3465000,866250,5e-6,0.427508,1.5334,131.85,0.0193,1.633048
3465100,866275,5e-6,0.394119,1.4831,157.49,0.0282,1.523587
3465200,866300,5e-6,0.430605,1.5382,131.33,0.0200,1.642838
3465300,866325,5e-6,0.359387,1.4325,119.74,0.0199,1.442767
3465400,866350,5e-6,0.411872,1.5096,121.98,0.0199,1.533640
3465500,866375,5e-6,0.419843,1.5217,112.70,0.0214,1.587909
3465600,866400,5e-6,0.365091,1.4406,115.93,0.0208,1.452285
3465700,866425,5e-6,0.430074,1.5374,120.71,0.0202,1.567689
3465800,866450,5e-6,0.392888,1.4813,117.65,0.0207,1.498908
3465900,866475,5e-6,0.433330,1.5424,119.96,0.0208,1.634239
3466000,866500,5e-6,0.414066,1.5130,119.66,0.0222,1.528728
3466100,866525,5e-6,0.416526,1.5167,155.63,0.0299,1.587964
3466200,866550,5e-6,0.413892,1.5127,121.62,0.0216,1.552035
3466300,866575,5e-6,0.395800,1.4856,124.82,0.0212,1.504199
3466400,866600,5e-6,0.393433,1.4821,127.01,0.0217,1.499208
3466500,866625,5e-6,0.373912,1.4534,127.60,0.0201,1.462870
3466600,866650,5e-6,0.426095,1.5313,118.62,0.0217,1.596317
3466700,866675,5e-6,0.388275,1.4744,131.49,0.0203,1.490327
3466800,866700,5e-6,0.377670,1.4589,122.15,0.0213,1.470559
3466900,866725,5e-6,0.412066,1.5099,117.81,0.0217,1.535017
3467000,866750,5e-6,0.433041,1.5419,125.45,0.0207,1.668955
3467100,866775,5e-6,0.402846,1.4961,166.32,0.0257,1.520935
3467200,866800,5e-6,0.381579,1.4646,109.41,0.0216,1.489859
3467300,866825,5e-6,0.385019,1.4696,115.96,0.0207,1.512979
3467400,866850,5e-6,0.410277,1.5072,118.06,0.0204,1.581963
3467500,866875,5e-6,0.375175,1.4552,107.55,0.0221,1.476050
3467600,866900,5e-6,0.387840,1.4738,118.18,0.0202,1.486412
3467700,866925,5e-6,0.400989,1.4933,118.81,0.0209,1.527020
3467800,866950,5e-6,0.420817,1.5232,114.12,0.0211,1.570511
3467900,866975,5e-6,0.362024,1.4362,125.68,0.0192,1.444494
3468000,867000,5e-6,0.383419,1.4673,122.80,0.0201,1.478965
3468100,867025,5e-6,0.420134,1.5222,157.87,0.0255,1.604456
3468200,867050,5e-6,0.363910,1.4389,119.87,0.0199,1.446704
3468300,867075,5e-6,0.409276,1.5057,117.56,0.0207,1.548784
3468400,867100,5e-6,0.386563,1.4719,117.03,0.0206,1.488134
3468500,867125,5e-6,0.402043,1.4949,121.92,0.0195,1.515692
3468600,867150,5e-6,0.390387,1.4776,124.85,0.0199,1.493237
3468700,867175,5e-6,0.414928,1.5143,117.67,0.0202,1.568749
3468800,867200,5e-6,0.378274,1.4598,114.98,0.0204,1.477673
3468900,867225,5e-6,0.407192,1.5026,117.59,0.0209,1.557120
3469000,867250,5e-6,0.371209,1.4495,114.03,0.0208,1.460618
3469100,867275,5e-6,0.373976,1.4535,152.58,0.0275,1.464724
3469200,867300,5e-6,0.398626,1.4898,127.95,0.0194,1.512254
3469300,867325,5e-6,0.375494,1.4557,125.15,0.0201,1.474547
3469400,867350,5e-6,0.408791,1.5050,123.08,0.0199,1.532362
3469500,867375,5e-6,0.421054,1.5236,116.40,0.0205,1.570021
3469600,867400,5e-6,0.404022,1.4978,121.01,0.0200,1.519010
3469700,867425,5e-6,0.411285,1.5088,123.52,0.0198,1.589031
3469800,867450,5e-6,0.382412,1.4658,132.16,0.0200,1.478148
3469900,867475,5e-6,0.367661,1.4444,119.08,0.0207,1.458439
3470000,867500,5e-6,0.393826,1.4826,127.56,0.0204,1.525042
3470100,867525,5e-6,0.390228,1.4773,155.98,0.0267,1.583632
3470200,867550,5e-6,0.402390,1.4954,117.00,0.0218,1.587651
3470300,867575,5e-6,0.401104,1.4935,115.14,0.0203,1.581987
3470400,867600,5e-6,0.351962,1.4219,121.26,0.0216,1.434873
