step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
700,350,1.3999999e-5,3.879005,48.3761,636.27,0.5573,0.080019,0.130305,26.577068
710,355,1.42e-5,3.857349,47.3397,678.83,0.5740,0.079993,0.124518,25.184807
720,360,1.4399999e-5,3.849123,46.9519,703.28,0.5677,0.081051,0.124336,25.315668
730,365,1.4599999e-5,3.830967,46.1071,712.40,0.6265,0.077080,0.122629,22.451811
740,370,1.48e-5,3.805456,44.9457,764.01,0.6148,0.076853,0.117000,22.480097
750,375,1.50000005e-5,3.794500,44.4560,723.90,0.5910,0.081237,0.115291,23.823574
760,380,1.5199999e-5,3.776846,43.6781,723.08,0.5825,0.081117,0.113951,24.354563
770,385,1.5399999e-5,3.809985,45.1497,641.46,0.5483,0.085217,0.119552,26.103128
780,390,1.56e-5,3.806480,44.9918,699.36,0.5618,0.083922,0.115885,25.624643
790,395,1.58e-5,3.764299,43.1334,701.31,0.5700,0.081782,0.107896,24.869921
800,400,1.6e-5,3.775135,43.6034,681.58,0.5485,0.086077,0.114799,26.052237
810,405,1.62e-5,3.729371,41.6529,695.76,0.5617,0.085029,0.107213,25.124495
820,410,1.64e-5,3.738822,42.0484,704.94,0.5678,0.084658,0.103466,24.948996
830,415,1.6599999e-5,3.753935,42.6887,708.96,0.5709,0.085794,0.104454,24.863337
840,420,1.6799999e-5,3.739571,42.0799,708.87,0.5703,0.085769,0.100246,24.548904
850,425,1.7e-5,3.718770,41.2137,696.70,0.5605,0.087191,0.097544,25.343407
860,430,1.72e-5,3.717784,41.1731,690.34,0.5550,0.091195,0.104975,26.286215
870,435,1.74e-5,3.687407,39.9411,732.36,0.5892,0.088314,0.094771,24.466825
880,440,1.76e-5,3.682542,39.7473,694.25,0.6045,0.090019,0.103120,23.678324
890,445,1.78e-5,3.696301,40.2980,725.34,0.5977,0.087806,0.094362,23.536688
900,450,1.8e-5,3.655799,38.6984,716.24,0.5768,0.089760,0.094624,24.288677
910,455,1.8199999e-5,3.616857,37.2204,780.60,0.6291,0.085319,0.087966,21.693417
920,460,1.84e-5,3.642231,38.1769,714.78,0.5906,0.091031,0.092542,23.588181
