step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3460600,1730300,5e-6,0.371278,1.4496,92.45,0.0317,1.484323
3460700,1730350,5e-6,0.354311,1.4252,98.45,0.0283,1.445113
3460800,1730400,5e-6,0.354205,1.4250,100.88,0.0285,1.444576
3460900,1730450,5e-6,0.353898,1.4246,100.71,0.0275,1.434377
3461000,1730500,5e-6,0.383006,1.4667,106.96,0.0255,1.513769
3461100,1730550,5e-6,0.349450,1.4183,140.22,0.0352,1.431172
3461200,1730600,5e-6,0.335986,1.3993,91.85,0.0302,1.419770
3461300,1730650,5e-6,0.373212,1.4524,98.35,0.0278,1.486862
3461400,1730700,5e-6,0.321845,1.3797,92.43,0.0292,1.394140
3461500,1730750,5e-6,0.348384,1.4168,97.00,0.0290,1.431114
3461600,1730800,5e-6,0.348017,1.4163,97.46,0.0294,1.439200
3461700,1730850,5e-6,0.357260,1.4294,99.03,0.0277,1.498865
3461800,1730900,5e-6,0.367942,1.4448,94.36,0.0303,1.465588
3461900,1730950,5e-6,0.358524,1.4312,91.47,0.0287,1.494188
3462000,1731000,5e-6,0.361941,1.4361,96.95,0.0264,1.466930
3462100,1731050,5e-6,0.371244,1.4495,136.14,0.0381,1.491733
3462200,1731100,5e-6,0.341460,1.4070,100.30,0.0257,1.415304
3462300,1731150,5e-6,0.354709,1.4258,86.80,0.0302,1.515851
3462400,1731200,5e-6,0.372905,1.4519,106.15,0.0247,1.483735
3462500,1731250,5e-6,0.340889,1.4062,93.48,0.0281,1.443927
3462600,1731300,5e-6,0.359166,1.4321,95.64,0.0272,1.451285
3462700,1731350,5e-6,0.340057,1.4050,97.82,0.0266,1.421453
3462800,1731400,5e-6,0.334228,1.3969,91.39,0.0287,1.408631
3462900,1731450,5e-6,0.332639,1.3946,98.62,0.0258,1.487733
3463000,1731500,5e-6,0.359687,1.4329,95.04,0.0279,1.448505
3463100,1731550,5e-6,0.300225,1.3502,126.20,0.0410,1.359911
3463200,1731600,5e-6,0.377264,1.4583,104.79,0.0244,1.479427
3463300,1731650,5e-6,0.345643,1.4129,90.81,0.0289,1.433584
