step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
680,680,1.999863e-4,2.007755,7.4466,23694.97,1.6986,0.597171,0.035458,14.767019
690,690,1.999859e-4,2.012945,7.4853,29568.71,1.7320,0.608331,0.035214,14.595903
700,700,1.9998549e-4,1.990898,7.3221,25967.48,1.7449,0.608509,0.034990,14.280238
710,710,1.9998508e-4,2.053131,7.7923,27116.66,1.7148,0.580424,0.036446,14.730410
720,720,1.9998464e-4,2.033268,7.6390,23546.94,1.6900,0.573376,0.034669,15.267217
730,730,1.999842e-4,2.008266,7.4504,28531.51,1.7002,0.613143,0.034595,14.651093
740,740,1.9998378e-4,1.956675,7.0758,24656.54,1.7244,0.586185,0.034291,14.132437
750,750,1.9998333e-4,1.950658,7.0333,28939.39,1.7269,0.598302,0.034840,14.099264
760,760,1.999829e-4,1.965202,7.1364,20914.23,1.6670,0.607746,0.036652,14.471945
770,770,1.9998245e-4,1.944601,6.9908,24263.98,1.6887,0.610352,0.035003,14.096542
780,780,1.99982e-4,1.935139,6.9250,27637.55,1.7134,0.614156,0.036142,13.603174
790,790,1.9998151e-4,2.002017,7.4040,22331.01,1.6376,0.611545,0.036870,14.937454
800,800,1.9998105e-4,1.967636,7.1537,26647.59,1.6900,0.593418,0.036088,14.392532
810,810,1.9998057e-4,1.935677,6.9287,23799.39,1.7020,0.589514,0.036743,13.999014
820,820,1.9998007e-4,1.945950,7.0003,23755.47,1.6494,0.617079,0.036106,14.590276
830,830,1.999796e-4,1.903270,6.7078,30493.76,1.6774,0.619769,0.036510,13.950168
840,840,1.9997911e-4,1.905899,6.7254,30782.29,1.6576,0.624206,0.038733,14.107065
850,850,1.9997862e-4,1.884016,6.5799,25425.62,1.6783,0.632532,0.038239,13.600573
860,860,1.999781e-4,1.928125,6.8766,24786.74,1.7297,0.617881,0.036250,13.415593
870,870,1.9997758e-4,1.893732,6.6441,24375.02,1.7025,0.627232,0.036318,13.616783
880,880,1.9997706e-4,1.884979,6.5862,27891.04,1.6675,0.643198,0.037184,13.889704
890,890,1.9997655e-4,1.927645,6.8733,21239.96,1.6838,0.644971,0.037258,13.903043
