step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
467880,116970,5e-6,0.910481,2.4855,8161.62,7.8430,2.596332
467890,116972,5e-6,0.841419,2.3197,5514.37,8.0323,2.360060
467900,116975,5e-6,0.935851,2.5494,8336.95,8.0055,2.768744
467910,116977,5e-6,1.160358,3.1911,5246.18,7.8608,3.968766
467920,116980,5e-6,0.821447,2.2738,7056.09,7.5391,2.326301
467930,116982,5e-6,0.942869,2.5673,7107.54,7.5893,2.630085
467940,116985,5e-6,1.232775,3.4307,7650.34,7.3462,8.498250
467950,116987,5e-6,0.889774,2.4346,5041.18,7.7394,2.735943
467960,116990,5e-6,0.938377,2.5558,9443.12,7.6647,2.943031
467970,116992,5e-6,0.865367,2.3759,8416.87,8.1541,2.500723
467980,116995,5e-6,1.056756,2.8770,9728.97,7.8039,2.989901
467990,116997,5e-6,1.232384,3.4294,9609.77,7.9718,5.043101
468000,117000,5e-6,0.766239,2.1517,10936.44,8.7656,2.182955
468010,117002,5e-6,0.769786,2.1593,10559.22,7.4621,2.198351
468020,117005,5e-6,1.001478,2.7223,11026.71,8.2696,2.972462
468030,117007,5e-6,0.842916,2.3231,7772.41,8.1731,2.486216
468040,117010,5e-6,1.025562,2.7887,9875.62,7.7790,2.936244
468050,117012,5e-6,1.395024,4.0351,9005.13,7.6058,14.142515
468060,117015,5e-6,1.000808,2.7205,5980.11,8.0068,2.810226
468070,117017,5e-6,1.262719,3.5350,9279.53,7.4248,16.806356
468080,117020,5e-6,1.306491,3.6932,9178.15,7.2218,9.150622
468090,117022,5e-6,0.774048,2.1685,8005.94,8.0122,2.208519
468100,117025,5e-6,1.016082,2.7624,6263.00,8.1594,2.893230
468110,117027,5e-6,0.868988,2.3845,7733.40,7.4722,2.429767
468120,117030,5e-6,1.079304,2.9426,9075.66,7.7861,3.304567
468130,117032,5e-6,1.191723,3.2928,9817.98,7.5614,21.232096
468140,117035,5e-6,0.795202,2.2149,9206.67,7.6115,2.262968
468150,117037,5e-6,0.858172,2.3588,8111.38,7.5854,2.539622
468160,117040,5e-6,1.162138,3.1968,8305.77,7.9058,6.200560
468170,117042,5e-6,1.041212,2.8326,6885.98,8.2780,3.262983
468180,117045,5e-6,0.883760,2.4200,10720.87,7.9598,2.641931
468190,117047,5e-6,1.107348,3.0263,8470.18,7.2886,4.119957
468200,117050,5e-6,0.729779,2.0746,6203.16,8.1541,2.090540
468210,117052,5e-6,1.059710,2.8855,8041.64,7.8500,3.291541
468220,117055,5e-6,0.734826,2.0851,9379.91,7.3243,2.116922
468230,117057,5e-6,0.960755,2.6137,6991.91,7.6837,2.757596
468240,117060,5e-6,0.804878,2.2364,7203.14,7.9006,2.311574
468250,117062,5e-6,0.928052,2.5296,6935.29,8.0318,2.660627
468260,117065,5e-6,0.901227,2.4626,5877.53,7.7063,2.706852
468270,117067,5e-6,0.804054,2.2346,6436.85,7.6395,2.290943
468280,117070,5e-6,0.880639,2.4124,5839.80,7.7803,2.674845
