step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
410,102,1.36e-4,2.054280,7.8012,771.87,0.0954
420,105,1.3999999e-4,2.014931,7.5002,482.84,0.0588
430,107,1.4266666e-4,2.002928,7.4107,500.93,0.0587
440,110,1.4666667e-4,1.957757,7.0834,620.53,0.0764
450,112,1.4933333e-4,1.970022,7.1708,494.28,0.0679
460,115,1.5333333e-4,1.960414,7.1023,423.41,0.0582
470,117,1.56e-4,1.938288,6.9469,402.55,0.0603
480,120,1.6e-4,1.969528,7.1673,541.22,0.0591
490,122,1.6266666e-4,1.941739,6.9709,466.08,0.0588
500,125,1.6666666e-4,2.003489,7.4149,979.69,0.0842
510,127,1.6933333e-4,1.956713,7.0760,1304.72,0.0816
520,130,1.7333333e-4,1.935805,6.9296,1185.95,0.0741
530,132,1.76e-4,1.981894,7.2565,825.94,0.0704
540,135,1.7999999e-4,1.899825,6.6847,319.52,0.0632
550,137,1.8266667e-4,1.977368,7.2237,496.82,0.0568
560,140,1.8666666e-4,1.960403,7.1022,540.19,0.0623
570,142,1.8933332e-4,1.869087,6.4824,304.59,0.0671
580,145,1.9333333e-4,1.877208,6.5352,516.38,0.0588
590,147,1.96e-4,1.887919,6.6056,552.03,0.0597
600,150,1.9999954e-4,1.760797,5.8171,568.92,0.0612
610,152,1.9999954e-4,1.822522,6.1874,871.40,0.1071
620,155,1.9999954e-4,1.804524,6.0771,433.07,0.0626
630,157,1.9999951e-4,1.804390,6.0763,378.16,0.0610
640,160,1.9999949e-4,1.818956,6.1654,411.55,0.0600
650,162,1.9999949e-4,1.764164,5.8367,445.18,0.0599
660,165,1.9999946e-4,1.770350,5.8729,355.08,0.0625
670,167,1.9999946e-4,1.738318,5.6878,498.89,0.0555
680,170,1.9999943e-4,1.719207,5.5801,492.28,0.0577
690,172,1.9999943e-4,1.749162,5.7498,514.51,0.0615
700,175,1.999994e-4,1.710061,5.5293,417.90,0.0608
710,177,1.9999937e-4,1.729368,5.6371,732.90,0.0930
720,180,1.9999937e-4,1.724874,5.6118,689.06,0.0588
730,182,1.9999934e-4,1.826904,6.2146,596.73,0.0629
740,185,1.9999934e-4,1.723559,5.6044,599.11,0.0597
750,187,1.9999931e-4,1.741722,5.7072,497.35,0.0580
760,190,1.9999928e-4,1.673998,5.3334,549.35,0.0581
770,192,1.9999928e-4,1.646016,5.1863,548.13,0.0573
780,195,1.9999925e-4,1.715209,5.5578,493.99,0.0581
790,197,1.9999922e-4,1.713004,5.5456,564.73,0.0636
800,200,1.999992e-4,1.731281,5.6479,676.20,0.0580
810,202,1.999992e-4,1.757038,5.7952,636.63,0.1004
820,205,1.9999917e-4,1.652742,5.2213,626.11,0.0567
830,207,1.9999917e-4,1.572632,4.8193,449.34,0.0583
840,210,1.9999914e-4,1.669776,5.3110,348.69,0.0621
850,212,1.9999914e-4,1.824085,6.1971,372.31,0.0609
860,215,1.9999908e-4,1.602041,4.9631,377.23,0.0635
870,217,1.9999908e-4,1.643102,5.1712,415.23,0.0606
880,220,1.9999905e-4,1.595270,4.9297,413.28,0.0606
890,222,1.9999905e-4,1.635749,5.1333,674.79,0.0581
900,225,1.9999899e-4,1.641564,5.1632,719.05,0.0580
910,227,1.9999899e-4,1.596588,4.9362,843.95,0.1131
920,230,1.9999896e-4,1.616561,5.0357,484.43,0.0607
930,232,1.9999893e-4,1.697056,5.4579,786.71,0.0608
940,235,1.999989e-4,1.689776,5.4183,544.84,0.0631
950,237,1.9999887e-4,1.646224,5.1874,482.46,0.0667
960,240,1.9999887e-4,1.589406,4.9008,502.70,0.0608
970,242,1.9999885e-4,1.670863,5.3168,525.62,0.0641
980,245,1.9999882e-4,1.567405,4.7942,497.74,0.0588
990,247,1.9999879e-4,1.660893,5.2640,625.54,0.0583
1000,250,1.9999876e-4,1.585968,4.8840,418.99,0.0654
1010,252,1.9999876e-4,1.613085,5.0183,819.01,0.0932
1020,255,1.9999873e-4,1.640397,5.1572,590.54,0.0607
1030,257,1.999987e-4,1.587064,4.8894,602.94,0.0590
1040,260,1.9999867e-4,1.596757,4.9370,397.69,0.0625
1050,262,1.9999864e-4,1.585925,4.8838,473.09,0.0604
1060,265,1.9999861e-4,1.565699,4.7860,389.43,0.0609
1070,267,1.9999858e-4,1.660009,5.2594,442.56,0.0661
1080,270,1.9999855e-4,1.552831,4.7248,409.64,0.0574
1090,272,1.9999855e-4,1.568281,4.7984,453.71,0.0604
1100,275,1.9999853e-4,1.556867,4.7439,407.52,0.0580
1110,277,1.999985e-4,1.491272,4.4427,768.38,0.0921
1120,280,1.9999847e-4,1.525451,4.5972,544.85,0.0566
1130,282,1.9999844e-4,1.591249,4.9099,474.94,0.0608
1140,285,1.9999838e-4,1.488380,4.4299,477.99,0.0606
1150,287,1.9999838e-4,1.489346,4.4342,497.57,0.0570
1160,290,1.9999835e-4,1.487461,4.4258,504.00,0.0575
1170,292,1.9999832e-4,1.480674,4.3959,631.61,0.0560
1180,295,1.9999829e-4,1.483377,4.4078,561.55,0.0582
1190,297,1.9999826e-4,1.505699,4.5073,697.15,0.0621
1200,300,1.9999823e-4,1.527780,4.6079,485.32,0.0555
1210,302,1.999982e-4,1.537127,4.6512,685.72,0.1077
1220,305,1.9999818e-4,1.575474,4.8330,487.54,0.0599
1230,307,1.9999815e-4,1.601159,4.9588,459.40,0.0603
1240,310,1.9999812e-4,1.554452,4.7325,532.88,0.0596
1250,312,1.9999809e-4,1.519273,4.5689,431.35,0.0631
1260,315,1.9999806e-4,1.515998,4.5540,476.74,0.0611
