step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
1010,252,1.9999876e-4,1.619161,5.0489,488.10,0.0450
1020,255,1.9999873e-4,1.655669,5.2366,279.47,0.0330
1030,257,1.999987e-4,1.625663,5.0818,375.32,0.0317
1040,260,1.9999867e-4,1.591340,4.9103,207.98,0.0361
1050,262,1.9999864e-4,1.613351,5.0196,298.60,0.0333
1060,265,1.9999861e-4,1.672390,5.3249,226.09,0.0338
1070,267,1.9999858e-4,1.541635,4.6722,488.59,0.0295
1080,270,1.9999855e-4,1.619413,5.0501,212.82,0.0366
1090,272,1.9999855e-4,1.601761,4.9618,394.07,0.0332
1100,275,1.9999853e-4,1.640183,5.1561,270.06,0.0336
1110,277,1.999985e-4,1.552099,4.7214,503.60,0.0427
1120,280,1.9999847e-4,1.630686,5.1074,257.08,0.0325
1130,282,1.9999844e-4,1.544137,4.6839,327.31,0.0312
1140,285,1.9999838e-4,1.561727,4.7670,408.61,0.0312
1150,287,1.9999838e-4,1.496935,4.4680,404.51,0.0293
1160,290,1.9999835e-4,1.541813,4.6731,329.14,0.0314
1170,292,1.9999832e-4,1.561465,4.7658,266.46,0.0345
1180,295,1.9999829e-4,1.542799,4.6777,236.88,0.0340
1190,297,1.9999826e-4,1.548605,4.7049,260.53,0.0313
1200,300,1.9999823e-4,1.521032,4.5769,290.95,0.0352
1210,302,1.999982e-4,1.570184,4.8075,444.27,0.0465
1220,305,1.9999818e-4,1.498892,4.4767,410.76,0.0303
1230,307,1.9999815e-4,1.527347,4.6059,250.07,0.0326
1240,310,1.9999812e-4,1.566352,4.7891,445.51,0.0317
1250,312,1.9999809e-4,1.666567,5.2940,217.94,0.0371
1260,315,1.9999806e-4,1.480217,4.3939,397.55,0.0308
1270,317,1.9999803e-4,1.607464,4.9901,351.01,0.0317
1280,320,1.9999797e-4,1.511338,4.5328,238.73,0.0356
1290,322,1.9999794e-4,1.547785,4.7010,371.92,0.0329
1300,325,1.9999791e-4,1.498739,4.4760,243.76,0.0364
1310,327,1.9999788e-4,1.476439,4.3773,575.71,0.0388
1320,330,1.9999786e-4,1.553771,4.7293,325.65,0.0326
1330,332,1.9999783e-4,1.545368,4.6897,201.70,0.0356
1340,335,1.999978e-4,1.491901,4.4455,203.00,0.0335
1350,337,1.9999777e-4,1.544944,4.6877,287.43,0.0328
1360,340,1.9999774e-4,1.412709,4.1071,365.84,0.0298
1370,342,1.9999768e-4,1.408736,4.0908,326.51,0.0333
1380,345,1.9999765e-4,1.533534,4.6345,216.75,0.0337
1390,347,1.9999762e-4,1.446552,4.2484,419.13,0.0324
1400,350,1.9999756e-4,1.565081,4.7831,148.68,0.0393
1410,352,1.9999756e-4,1.445184,4.2426,339.37,0.0578
1420,355,1.999975e-4,1.550816,4.7153,251.82,0.0342
1430,357,1.9999748e-4,1.530946,4.6226,367.69,0.0322
1440,360,1.9999745e-4,1.472775,4.3613,202.03,0.0362
1450,362,1.9999742e-4,1.462374,4.3162,275.93,0.0347
1460,365,1.9999736e-4,1.475755,4.3743,274.34,0.0339
1470,367,1.9999733e-4,1.434317,4.1968,430.80,0.0320
1480,370,1.999973e-4,1.503535,4.4976,411.87,0.0336
1490,372,1.9999727e-4,1.446175,4.2468,340.72,0.0325
