step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-7,5.222281,185.3565,9350.91,7.5112,0.125636,0.838172,32.481346
20,20,4e-7,5.202443,181.7157,8514.70,6.8806,0.131935,0.886174,35.103710
30,30,5.9999996e-7,5.180196,177.7176,8635.46,6.9409,0.128597,0.871177,34.976883
40,40,8e-7,5.146336,171.8008,8025.73,7.0098,0.130971,0.876687,34.192436
50,50,1e-6,5.124818,168.1435,9067.07,7.9574,0.119436,0.788947,29.564651
